freq,age,statinfo,geo,2014,2024,2025,time,values
A,TOTAL,GINI_HND,AT,27.6,28.4,,2015,27.2
A,TOTAL,GINI_HND,CZ,25.1,23.7,24.0,2015,25.0
A,TOTAL,GINI_HND,HU,28.6,28.0,29.5,2015,28.2
A,TOTAL,GINI_HND,PL,30.8,26.0,24.9,2015,30.6
A,TOTAL,GINI_HND,RO,35.0,28.0,27.3,2015,37.4
A,TOTAL,GINI_HND,SK,26.1,21.7,,2015,23.7
A,Y_LT18,GINI_HND,AT,24.7,27.7,,2015,25.6
A,Y_LT18,GINI_HND,CZ,27.4,24.1,24.1,2015,27.1
A,Y_LT18,GINI_HND,HU,29.1,25.7,28.9,2015,29.0
A,Y_LT18,GINI_HND,PL,32.1,25.0,24.6,2015,32.0
A,Y_LT18,GINI_HND,RO,37.6,30.3,28.8,2015,38.8
A,Y_LT18,GINI_HND,SK,27.8,23.6,,2015,25.5
A,TOTAL,GINI_HND,AT,27.6,28.4,,2016,27.2
A,TOTAL,GINI_HND,CZ,25.1,23.7,24.0,2016,25.1
A,TOTAL,GINI_HND,HU,28.6,28.0,29.5,2016,28.2
A,TOTAL,GINI_HND,PL,30.8,26.0,24.9,2016,29.8
A,TOTAL,GINI_HND,RO,35.0,28.0,27.3,2016,34.7
A,TOTAL,GINI_HND,SK,26.1,21.7,,2016,24.3
A,Y_LT18,GINI_HND,AT,24.7,27.7,,2016,25.9
A,Y_LT18,GINI_HND,CZ,27.4,24.1,24.1,2016,26.8
A,Y_LT18,GINI_HND,HU,29.1,25.7,28.9,2016,28.8
A,Y_LT18,GINI_HND,PL,32.1,25.0,24.6,2016,31.3
A,Y_LT18,GINI_HND,RO,37.6,30.3,28.8,2016,38.9
A,Y_LT18,GINI_HND,SK,27.8,23.6,,2016,25.2
A,TOTAL,GINI_HND,AT,27.6,28.4,,2017,27.9
A,TOTAL,GINI_HND,CZ,25.1,23.7,24.0,2017,24.5
A,TOTAL,GINI_HND,HU,28.6,28.0,29.5,2017,28.1
A,TOTAL,GINI_HND,PL,30.8,26.0,24.9,2017,29.2
A,TOTAL,GINI_HND,RO,35.0,28.0,27.3,2017,33.1
A,TOTAL,GINI_HND,SK,26.1,21.7,,2017,23.2
A,Y_LT18,GINI_HND,AT,24.7,27.7,,2017,27.3
A,Y_LT18,GINI_HND,CZ,27.4,24.1,24.1,2017,25.3
A,Y_LT18,GINI_HND,HU,29.1,25.7,28.9,2017,27.5
A,Y_LT18,GINI_HND,PL,32.1,25.0,24.6,2017,28.9
A,Y_LT18,GINI_HND,RO,37.6,30.3,28.8,2017,36.8
A,Y_LT18,GINI_HND,SK,27.8,23.6,,2017,25.1
A,TOTAL,GINI_HND,AT,27.6,28.4,,2018,26.8
A,TOTAL,GINI_HND,CZ,25.1,23.7,24.0,2018,24.0
A,TOTAL,GINI_HND,HU,28.6,28.0,29.5,2018,28.7
A,TOTAL,GINI_HND,PL,30.8,26.0,24.9,2018,27.8
A,TOTAL,GINI_HND,RO,35.0,28.0,27.3,2018,35.1
A,TOTAL,GINI_HND,SK,26.1,21.7,,2018,20.9
A,Y_LT18,GINI_HND,AT,24.7,27.7,,2018,25.5
A,Y_LT18,GINI_HND,CZ,27.4,24.1,24.1,2018,23.6
A,Y_LT18,GINI_HND,HU,29.1,25.7,28.9,2018,29.5
A,Y_LT18,GINI_HND,PL,32.1,25.0,24.6,2018,26.6
A,Y_LT18,GINI_HND,RO,37.6,30.3,28.8,2018,38.8
A,Y_LT18,GINI_HND,SK,27.8,23.6,,2018,22.1
A,TOTAL,GINI_HND,AT,27.6,28.4,,2019,27.5
A,TOTAL,GINI_HND,CZ,25.1,23.7,24.0,2019,24.0
A,TOTAL,GINI_HND,HU,28.6,28.0,29.5,2019,26.8
A,TOTAL,GINI_HND,PL,30.8,26.0,24.9,2019,28.5
A,TOTAL,GINI_HND,RO,35.0,28.0,27.3,2019,34.8
A,TOTAL,GINI_HND,SK,26.1,21.7,,2019,22.8
A,Y_LT18,GINI_HND,AT,24.7,27.7,,2019,24.4
A,Y_LT18,GINI_HND,CZ,27.4,24.1,24.1,2019,23.0
A,Y_LT18,GINI_HND,HU,29.1,25.7,28.9,2019,26.2
A,Y_LT18,GINI_HND,PL,32.1,25.0,24.6,2019,27.8
A,Y_LT18,GINI_HND,RO,37.6,30.3,28.8,2019,38.0
A,Y_LT18,GINI_HND,SK,27.8,23.6,,2019,23.7
A,TOTAL,GINI_HND,AT,27.6,28.4,,2020,27.0
A,TOTAL,GINI_HND,CZ,25.1,23.7,24.0,2020,24.2
A,TOTAL,GINI_HND,HU,28.6,28.0,29.5,2020,28.2
A,TOTAL,GINI_HND,PL,30.8,26.0,24.9,2020,27.2
A,TOTAL,GINI_HND,RO,35.0,28.0,27.3,2020,33.8
A,TOTAL,GINI_HND,SK,26.1,21.7,,2020,20.9
A,Y_LT18,GINI_HND,AT,24.7,27.7,,2020,25.5
A,Y_LT18,GINI_HND,CZ,27.4,24.1,24.1,2020,23.6
A,Y_LT18,GINI_HND,HU,29.1,25.7,28.9,2020,30.8
A,Y_LT18,GINI_HND,PL,32.1,25.0,24.6,2020,26.4
A,Y_LT18,GINI_HND,RO,37.6,30.3,28.8,2020,36.1
A,Y_LT18,GINI_HND,SK,27.8,23.6,,2020,20.8
A,TOTAL,GINI_HND,AT,27.6,28.4,,2021,26.7
A,TOTAL,GINI_HND,CZ,25.1,23.7,24.0,2021,24.8
A,TOTAL,GINI_HND,HU,28.6,28.0,29.5,2021,27.4
A,TOTAL,GINI_HND,PL,30.8,26.0,24.9,2021,26.8
A,TOTAL,GINI_HND,RO,35.0,28.0,27.3,2021,34.3
A,TOTAL,GINI_HND,SK,26.1,21.7,,2021,21.8
A,Y_LT18,GINI_HND,AT,24.7,27.7,,2021,26.6
A,Y_LT18,GINI_HND,CZ,27.4,24.1,24.1,2021,24.5
A,Y_LT18,GINI_HND,HU,29.1,25.7,28.9,2021,25.9
A,Y_LT18,GINI_HND,PL,32.1,25.0,24.6,2021,26.2
A,Y_LT18,GINI_HND,RO,37.6,30.3,28.8,2021,37.1
A,Y_LT18,GINI_HND,SK,27.8,23.6,,2021,22.3
A,TOTAL,GINI_HND,AT,27.6,28.4,,2022,27.8
A,TOTAL,GINI_HND,CZ,25.1,23.7,24.0,2022,24.8
A,TOTAL,GINI_HND,HU,28.6,28.0,29.5,2022,26.9
A,TOTAL,GINI_HND,PL,30.8,26.0,24.9,2022,26.3
A,TOTAL,GINI_HND,RO,35.0,28.0,27.3,2022,32.0
A,TOTAL,GINI_HND,SK,26.1,21.7,,2022,21.2
A,Y_LT18,GINI_HND,AT,24.7,27.7,,2022,27.5
A,Y_LT18,GINI_HND,CZ,27.4,24.1,24.1,2022,24.8
A,Y_LT18,GINI_HND,HU,29.1,25.7,28.9,2022,26.6
A,Y_LT18,GINI_HND,PL,32.1,25.0,24.6,2022,25.8
A,Y_LT18,GINI_HND,RO,37.6,30.3,28.8,2022,33.5
A,Y_LT18,GINI_HND,SK,27.8,23.6,,2022,22.8
A,TOTAL,GINI_HND,AT,27.6,28.4,,2023,28.1
A,TOTAL,GINI_HND,CZ,25.1,23.7,24.0,2023,24.4
A,TOTAL,GINI_HND,HU,28.6,28.0,29.5,2023,28.6
A,TOTAL,GINI_HND,PL,30.8,26.0,24.9,2023,27.0
A,TOTAL,GINI_HND,RO,35.0,28.0,27.3,2023,31.0
A,TOTAL,GINI_HND,SK,26.1,21.7,,2023,21.6
A,Y_LT18,GINI_HND,AT,24.7,27.7,,2023,27.8
A,Y_LT18,GINI_HND,CZ,27.4,24.1,24.1,2023,24.7
A,Y_LT18,GINI_HND,HU,29.1,25.7,28.9,2023,29.5
A,Y_LT18,GINI_HND,PL,32.1,25.0,24.6,2023,26.2
A,Y_LT18,GINI_HND,RO,37.6,30.3,28.8,2023,34.7
A,Y_LT18,GINI_HND,SK,27.8,23.6,,2023,23.8
